headline,url
Israel’s Netanyahu vows response to Iran after Houthi attack on airport,https://www.aljazeera.com/news/2025/5/4/missile-launched-from-yemen-hits-israels-ben-gurion-airport-in-tel-aviv
"Israeli forces kill 24 in Gaza, attack rescuers as siege reaches 64 days",https://www.aljazeera.com/news/liveblog/2025/5/5/live-israeli-forces-kill-24-in-gaza-attack-rescuers-as-siege-continues
Trump says he will put 100% tariff on all foreign films,https://www.aljazeera.com/news/2025/5/5/trump-says-he-will-put-100-tariff-on-all-foreign-films
Putin expresses ‘hope’ that nuclear weapons will not be needed in Ukraine,https://www.aljazeera.com/news/2025/5/4/putin-expresses-hope-that-nuclear-weapons-will-not-be-needed-in-ukraine
"Updates: Israel kills 40, ‘world complicit’ in starvation of Gaza children",https://www.aljazeera.com/news/liveblog/2025/5/4/live-israel-blocks-aid-piling-up-at-gazas-border-as-57-die-of-hunger
"The woman braving tigers, crocodiles and pirates in Bangladesh’s mangroves",https://www.aljazeera.com/features/longform/2025/5/4/the-woman-braving-tigers-crocodiles-and-pirates-in-bangladeshs-mangroves
Trump faces backlash after posting AI image dressed as pope,https://www.aljazeera.com/news/2025/5/4/trump-faces-backlash-after-posting-ai-image-dressed-as-pope
Israel calling up tens of thousands of reservists to expand war on Gaza,https://www.aljazeera.com/news/2025/5/4/israel-calls-up-thousands-of-reservists-to-expand-war-on-gaza
Are Yemen’s non-Houthi groups seeking US support to attack the Houthis?,https://www.aljazeera.com/features/2025/5/4/are-the-houthis-opponents-in-yemen-seeking-us-support
Trump says ‘I don’t know’ when asked if he backs US due process rights,https://www.aljazeera.com/news/2025/5/4/trump-says-i-dont-know-when-asked-if-he-backs-us-due-process-rights
