headline,url,sentiment_score,sentiment_label
Hamas ‘loses contact’ with group holding captive after Israeli strike,https://www.aljazeera.com/news/liveblog/2025/4/15/live-israel-hamas-say-negotiations-underway-as-israel-attacks-gaza-tents,-0.128,neutral
Trump issues Harvard tax threat after university defies demands,https://www.aljazeera.com/news/liveblog/2025/4/15/trump-live-china-accuses-us-spies-of-cyberattacks-as-tariff-war-flares,-0.5267,negative
LIVE: Borussia Dortmund vs Barcelona – UEFA Champions League quarterfinal,https://www.aljazeera.com/sports/liveblog/2025/4/15/live-borussia-dortmund-vs-barcelona-uefa-champions-league-quarterfinal,0.5267,positive
Harvard’s $2.3bn gamble: What Trump demanded; how the university resisted,https://www.aljazeera.com/news/2025/4/15/harvards-2-3bn-gamble-what-trump-demanded-how-the-university-resisted,-0.2263,negative
Trump-China trade war: Which US companies could be worst hit,https://www.aljazeera.com/news/2025/4/15/trump-china-trade-war-which-us-companies-could-be-worst-hit,-0.8402,negative
"Iran ‘must stop and eliminate’ nuclear enrichment, says US envoy Witkoff",https://www.aljazeera.com/news/2025/4/15/iran-must-stop-and-eliminate-nuclear-enrichment-says-us-envoy-witkoff,-0.296,negative
Russian spy chief threatens Poland and Baltic States,https://www.aljazeera.com/news/2025/4/15/russian-spy-chief-threatens-poland-and-baltic-states,-0.3818,negative
Did US courts back Kilmar Abrego Garcia’s El Salvador deportation?,https://www.aljazeera.com/news/2025/4/15/did-us-courts-back-kilmar-abrego-garcias-el-salvador-deportation,0.0,neutral
Russia’s Putin open to Ukraine peace deal: US envoy,https://www.aljazeera.com/news/2025/4/15/us-envoy-witkoff-says-putin-open-to-permanent-peace-with-ukraine,0.5423,positive
"Why bonds, not stocks, could predict the next economic crisis in the US",https://www.aljazeera.com/economy/2025/4/15/why-bonds-not-stocks-could-predict-the-next-economic-crisis-in-the-us,-0.6249,negative
